track_id,track_name,artist_s_name,artist_count,released_year,released_month,released_day,release_date_concat,in_spotify_playlists,in_spotify_charts,streams,in_shazam_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,soma_playlists,count_music_artsolo,bpm_categoria,danceability_categoria,valence_categoria,energy_categoria,acousticness_categoria,instrumentalness_categoria,liveness_categoria,speechiness_categoria
2616615,You Make It Feel Like Christmas feat Blake Shelton,Gwen Stefani Blake Shelton,2,2005,9,20,2005-09-20,2577,0,180577478,0,108,56,30,0,93,63,93,88,1,0,12,4,2715,0,baixa,baixa,alta,alta,baixa,alta,baixa,baixa
7750995,505,Arctic Monkeys,1,2007,4,20,2007-04-20,13985,25,1217120710,1,30,80,588,1,140,52,20,85,0,0,7,5,14603,4,alta,baixa,baixa,alta,baixa,baixa,baixa,baixa
8455676,Heartless,Kanye West,1,2008,1,1,2008-01-01,17504,34,887906111,2,63,39,1315,0,88,79,66,65,5,0,25,14,18882,3,baixa,alta,alta,baixa,baixa,alta,alta,alta
3126367,Viva La Vida,Coldplay,1,2008,1,1,2008-01-01,33898,62,1592909789,0,233,0,4095,9,138,49,42,62,9,0,11,3,38226,3,alta,baixa,baixa,baixa,baixa,alta,baixa,baixa
3766692,Danza Kuduro,Don Omar Lucenzo,2,2010,1,1,2010-01-01,17138,37,1279434863,503,119,81,974,1,130,47,86,92,8,0,5,24,18231,0,alta,baixa,alta,alta,baixa,alta,baixa,alta
6735267,Enchanted,Taylor Swift,1,2010,1,1,2010-01-01,4564,16,621660989,40,24,101,113,0,164,45,24,62,8,0,16,3,4701,34,alta,baixa,baixa,baixa,baixa,alta,alta,baixa
2008299,Just The Way You Are,Bruno Mars,1,2010,1,1,2010-01-01,21106,13,1641426668,0,82,0,2946,0,109,63,46,85,1,0,9,5,24134,4,baixa,baixa,baixa,alta,baixa,alta,baixa,baixa
5046895,Talking To The Moon,Bruno Mars,1,2010,10,4,2010-10-04,7109,2,1062956628,0,5,0,862,0,146,52,7,61,51,0,11,3,7976,4,alta,baixa,baixa,baixa,alta,alta,baixa,baixa
2237089,Rolling in the Deep,Adele,1,2010,11,29,2010-11-29,35684,6,1472799873,78,195,125,6280,2,105,73,52,76,13,0,5,3,42159,4,baixa,alta,alta,alta,baixa,baixa,baixa,baixa
3451143,Sure Thing,Miguel,1,2010,5,25,2010-05-25,13801,19,950906471,285,137,125,435,6,81,68,51,60,3,0,19,10,14373,1,baixa,baixa,baixa,baixa,baixa,baixa,alta,alta
6057014,Es un Secreto,Plan B,1,2010,7,20,2010-07-20,492,36,540654286,0,4,3,19,0,95,84,52,77,12,0,7,4,515,1,baixa,alta,alta,alta,baixa,baixa,baixa,baixa
3605651,Cant Hold Us feat Ray Dalton,Ray Dalton Ryan Lewis Macklemore,3,2011,8,16,2011-08-16,6074,52,1953533826,0,201,44,6551,2,146,63,88,93,3,0,10,8,12826,0,alta,baixa,alta,alta,baixa,baixa,baixa,alta
4242212,We Found Love,Rihanna Calvin Harris,2,2011,1,1,2011-01-01,36843,21,1235005533,58,321,91,4607,1,128,73,60,77,3,0,11,4,41771,0,alta,alta,alta,alta,baixa,baixa,baixa,baixa
4458161,Radio,Lana Del Rey,1,2011,1,1,2011-01-01,9389,46,284819874,368,24,122,282,3,150,42,20,86,21,0,9,9,9695,3,alta,baixa,baixa,alta,alta,baixa,baixa,alta
7921549,Bloody Mary,Lady Gaga,1,2011,1,1,2011-01-01,3909,0,372476382,734,66,26,277,3,100,59,49,65,2,0,13,3,4252,2,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa
5666047,Mistletoe,Justin Bieber,1,2011,1,1,2011-01-01,9577,0,629173063,0,195,111,310,0,162,67,88,54,51,0,9,4,10082,3,alta,baixa,alta,baixa,alta,baixa,baixa,baixa
4350729,Set Fire to the Rain,Adele,1,2011,1,1,2011-01-01,14739,43,1163620694,519,88,112,2163,5,108,61,47,68,0,0,13,3,16990,4,baixa,baixa,baixa,alta,baixa,baixa,alta,baixa
1216337,Summertime Sadness,Lana Del Rey,1,2011,1,1,2011-01-01,20333,52,983637508,200,89,143,1632,3,112,56,24,66,7,0,12,3,22054,3,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa
3780370,Somebody That I Used To Know,Gotye Kimbra,2,2011,1,1,2011-01-01,42798,0,1457139296,2,217,136,6508,1,129,86,75,52,54,0,10,4,49523,0,alta,alta,alta,baixa,alta,baixa,baixa,baixa
7546342,Its Beginning To Look A Lot Like Christmas,Michael Bubl,1,2011,10,14,2011-10-14,12353,0,807561936,0,35,0,549,0,93,35,38,23,91,0,29,3,12937,2,baixa,baixa,baixa,baixa,alta,baixa,alta,baixa
4319986,Holly Jolly Christmas,Michael Bubl,1,2011,10,14,2011-10-14,7655,0,476244795,0,5,0,291,0,151,65,70,47,87,0,9,4,7951,2,alta,baixa,alta,baixa,alta,alta,baixa,baixa
2391919,Another Love,Tom Odell,1,2012,10,15,2012-10-15,18371,83,1813673666,2,250,122,3394,19,123,45,13,54,70,0,9,4,22015,1,alta,baixa,baixa,baixa,alta,alta,baixa,baixa
3509026,When I Was Your Man,Bruno Mars,1,2012,12,5,2012-12-05,2420,11,1661187319,0,0,0,806,0,145,60,43,27,94,0,14,4,3226,4,alta,baixa,baixa,baixa,alta,baixa,alta,baixa
3369956,Locked Out Of Heaven,Bruno Mars,1,2012,12,5,2012-12-05,1622,9,1481349984,0,0,0,356,0,144,73,87,70,6,0,28,5,1978,4,alta,alta,alta,alta,baixa,baixa,alta,baixa
8895699,Sweater Weather,The Neighbourhood,1,2012,5,14,2012-05-14,16413,61,2282771485,2,166,87,1056,1,124,61,41,81,5,2,10,3,17635,3,alta,baixa,baixa,alta,baixa,alta,baixa,baixa
8274842,MONTAGEM  FR PUNK,Ayparia unxbected,2,2012,6,20,2012-06-20,641,50,58054811,1170,1,52,8,0,129,63,84,82,70,8,9,7,650,0,alta,baixa,alta,alta,alta,alta,baixa,alta
1729982,Lover,Taylor Swift,1,2012,1,1,2012-01-01,8448,23,882831184,5,160,110,163,0,206,43,50,55,50,0,15,10,8771,34,alta,baixa,baixa,baixa,alta,alta,alta,alta
8580552,Demons,Imagine Dragons,1,2012,1,1,2012-01-01,26694,13,1840364617,13,65,82,3425,4,180,33,38,71,20,0,28,5,30184,3,alta,baixa,baixa,alta,alta,baixa,alta,baixa
7811952,Money Trees,Kendrick Lamar Jay Rock,2,2012,1,1,2012-01-01,26792,32,1093605526,458,69,113,695,0,144,74,37,53,7,0,21,10,27556,0,alta,alta,baixa,baixa,baixa,alta,alta,alta
3115886,Lost,Frank Ocean,1,2012,1,1,2012-01-01,29499,11,822239726,4,124,27,587,0,123,91,49,61,3,0,17,22,30210,2,alta,alta,baixa,baixa,baixa,baixa,alta,alta
1967014,Payphone,Maroon 5 Wiz Khalifa,2,2012,1,1,2012-01-01,14143,4,1479264469,2,56,38,1891,1,110,74,51,74,2,0,29,4,16090,0,baixa,alta,baixa,alta,baixa,baixa,alta,baixa
4722538,Thinking with My Dick,Kevin Gates Juicy J,2,2013,7,16,2013-07-16,1550,0,109091573,0,0,0,14,0,81,77,68,70,6,0,17,20,1564,0,baixa,alta,alta,alta,baixa,baixa,alta,alta
4152167,All of Me,John Legend,1,2013,8,1,2013-08-01,27221,0,2086124197,77,308,118,4534,2,120,42,33,26,92,0,13,3,32063,1,baixa,baixa,baixa,baixa,alta,baixa,alta,baixa
8126826,Ginseng Strip 2002,Yung Lean,1,2013,8,16,2013-08-16,4310,0,240769997,3,13,0,113,1,115,60,37,71,8,0,48,4,4436,1,baixa,baixa,baixa,alta,baixa,alta,alta,baixa
7256696,Take Me To Church,Hozier,1,2013,9,13,2013-09-13,23804,31,2135158446,0,187,99,4623,1,129,57,41,66,63,0,12,5,28614,1,alta,baixa,baixa,baixa,alta,baixa,baixa,baixa
5999455,Whyd You Only Call Me When Youre High,Arctic Monkeys,1,2013,1,1,2013-01-01,23389,29,1267333350,1,54,70,1089,2,92,70,81,63,4,0,8,4,24532,4,baixa,alta,alta,baixa,baixa,baixa,baixa,baixa
7325433,Counting Stars,OneRepublic,1,2013,1,1,2013-01-01,29215,43,2011464183,153,179,97,3394,11,122,66,48,71,6,0,12,4,32788,2,alta,baixa,baixa,alta,baixa,baixa,baixa,baixa
3968436,Bound 2,Kanye West,1,2013,1,1,2013-01-01,19806,7,703301727,0,33,11,274,0,149,37,28,66,14,0,9,5,20113,3,alta,baixa,baixa,alta,baixa,alta,baixa,baixa
5906167,Get Lucky  Radio Edit,Pharrell Williams Nile Rodgers Daft Punk,3,2013,1,1,2013-01-01,52898,0,933815613,0,203,1,8215,0,116,79,87,81,4,0,10,4,61316,0,baixa,alta,alta,alta,baixa,alta,baixa,baixa
7405938,Wake Me Up  Radio Edit,Avicii,1,2013,1,1,2013-01-01,50887,34,1970673297,46,315,160,6284,1,124,53,66,78,0,0,16,5,57486,2,alta,baixa,alta,alta,baixa,baixa,alta,baixa
1406287,I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,2013-01-01,12859,110,1297026226,73,24,98,582,2,135,48,44,42,12,2,11,3,13465,4,alta,baixa,baixa,baixa,baixa,alta,baixa,baixa
2664577,Do I Wanna Know,Arctic Monkeys,1,2013,1,1,2013-01-01,33783,26,1788326445,26,133,92,2733,1,85,55,42,53,17,0,22,3,36649,4,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa
4278371,Underneath the Tree,Kelly Clarkson,1,2013,10,25,2013-10-25,6596,0,485285717,0,144,99,251,0,160,51,69,81,0,0,21,5,6991,1,alta,baixa,alta,alta,baixa,alta,alta,baixa
1236328,Santa Tell Me,Ariana Grande,1,2013,12,13,2013-12-13,9408,0,834129063,2,231,106,439,0,133,46,53,63,5,0,30,18,10078,2,alta,baixa,alta,baixa,baixa,baixa,alta,alta
4795987,Night Changes,One Direction,1,2014,11,17,2014-11-17,7124,18,1131090940,2,60,20,2,0,120,67,40,52,86,0,12,4,7186,1,baixa,baixa,baixa,baixa,alta,alta,baixa,baixa
8584244,I Love You So,The Walters,1,2014,11,28,2014-11-28,7536,7,972164968,6,44,19,135,0,76,58,46,67,65,0,13,4,7715,1,baixa,baixa,baixa,alta,alta,alta,alta,baixa
8189388,No Role Modelz,J Cole,1,2014,12,9,2014-12-09,21164,36,1791000570,14,80,65,476,0,100,70,47,52,30,0,6,33,21720,1,baixa,alta,baixa,baixa,alta,alta,baixa,alta
8987545,Lovers Rock,TV Girl,1,2014,6,5,2014-06-05,6339,13,466231982,37,3,1,36,1,105,56,57,87,0,1,10,4,6378,1,baixa,baixa,alta,alta,baixa,alta,baixa,baixa
